"X","Y","Z","Intensity","ReturnNumber","NumberOfReturns","ScanDirectionFlag","EdgeOfFlightLine","Classification","ScanAngleRank","UserData","PointSourceId","GpsTime"
524186.550,4778999.500,1525.970,7231.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.807
524186.910,4778999.440,1527.200,4455.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,110.000,586328.807
524187.250,4778999.390,1526.680,4132.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,48.000,586328.807
524182.850,4778999.870,1525.730,9943.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,9.000,586328.800
524184.000,4778999.720,1525.700,10007.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.800
524184.910,4778999.590,1526.070,7360.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.800
524185.920,4778999.450,1526.080,9620.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,8.000,586328.800
524181.990,4778999.940,1525.740,9749.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.793
524183.090,4778999.790,1525.670,10524.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,2.000,586328.793
524184.200,4778999.640,1525.730,11557.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.793
524184.860,4778999.540,1526.270,6650.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,25.000,586328.793
524186.010,4778999.390,1526.130,7812.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,11.000,586328.793
524182.310,4778999.900,1525.630,10524.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.786
524183.410,4778999.750,1525.640,10395.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.786
524184.470,4778999.600,1525.760,12009.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.786
524184.970,4778999.530,1526.600,8393.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,56.000,586328.786
524185.860,4778999.400,1526.800,5617.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,80.000,586328.786
524182.340,4778999.980,1525.630,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.779
524183.470,4778999.820,1525.610,12009.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.779
524184.440,4778999.690,1525.730,11170.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.779
524184.930,4778999.610,1526.590,7102.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,50.000,586328.779
524185.920,4778999.480,1526.770,5681.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,78.000,586328.779
524186.420,4778999.420,1526.020,4132.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.779
524186.910,4778999.450,1527.110,6262.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,102.000,586328.772
524183.650,4778999.910,1525.630,12138.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.772
524184.610,4778999.780,1525.770,11363.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.772
524185.010,4778999.710,1526.750,6262.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,54.000,586328.772
524185.470,4778999.660,1526.050,2970.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,8.000,586328.772
524186.010,4778999.580,1526.810,4067.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,82.000,586328.772
524186.520,4778999.520,1526.040,5617.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,6.000,586328.772
524184.630,4778999.890,1525.720,11492.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.765
524185.110,4778999.810,1526.700,3422.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,44.000,586328.765
524185.640,4778999.750,1525.890,6714.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.765
524186.710,4778999.600,1526.020,11299.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.765
524187.200,4778999.520,1526.840,4648.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,65.000,586328.765
524187.560,4778999.480,1526.290,2905.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.765
524188.130,4778999.400,1527.130,4196.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,89.000,586328.765
524184.800,4778999.950,1525.860,11428.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.758
524185.770,4778999.810,1525.950,9039.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.758
524186.780,4778999.680,1526.010,11492.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.758
524187.300,4778999.600,1526.980,4325.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,73.000,586328.758
524187.740,4778999.540,1526.310,4067.000,2.000,0.000,0.000,0.000,3.000,0.000,0.000,4.000,586328.758
524188.800,4778999.400,1526.280,8006.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.758
524185.930,4778999.860,1525.980,8587.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.751
524186.910,4778999.730,1526.030,8974.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.751
524187.400,4778999.650,1527.010,4067.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,70.000,586328.751
524187.900,4778999.590,1526.260,4777.000,2.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.751
524189.040,4778999.440,1526.280,8716.000,1.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,586328.751
524187.060,4778999.720,1526.240,9039.000,1.000,0.000,0.000,0.000,3.000,0.000,0.000,11.000,586328.744
